Team,FTAG,FTHG,CANGOLCONTRA
Blackpool,37,41,78
West Brom,30,41,71
West Ham,31,39,70
Wolves,30,36,66
Wigan,34,27,61
Blackburn,16,43,59
Aston Villa,19,40,59
Birmingham,22,36,58
Newcastle,27,30,57
Bolton,24,32,56
Sunderland,27,29,56
Stoke,18,30,48
Tottenham,19,27,46
Everton,23,22,45
Liverpool,14,30,44
Arsenal,15,28,43
Fulham,23,20,43
Man United,12,25,37
Chelsea,13,20,33
Man City,12,21,33
